,id,home_team,away_team,home_team_abv,away_team_abv,datetime
0,1022400001, New York Liberty,Washington Mystics,NYL,WAS,2024-05-14T15:00:00.000Z
1,1022400002, Indiana Fever,Connecticut Sun,IND,CON,2024-05-14T15:00:00.000Z
2,1022400003, Phoenix Mercury,Las Vegas Aces,PHX,LVA,2024-05-14T15:00:00.000Z
3,1022400004, Minnesota Lynx,Seattle Storm,MIN,SEA,2024-05-14T15:00:00.000Z
4,1022400005, Chicago Sky,Dallas Wings,CHI,DAL,2024-05-15T15:00:00.000Z
5,1022400006, Atlanta Dream,Los Angeles Sparks,ATL,LAS,2024-05-15T15:00:00.000Z
6,1022400007, New York Liberty,Indiana Fever,NYL,IND,2024-05-16T15:00:00.000Z
7,1022400008, Washington Mystics,Connecticut Sun,WAS,CON,2024-05-17T15:00:00.000Z
8,1022400009, Seattle Storm,Minnesota Lynx,SEA,MIN,2024-05-17T15:00:00.000Z
9,1022400010, Indiana Fever,New York Liberty,IND,NYL,2024-05-18T15:00:00.000Z
10,1022400011, Los Angeles Sparks,Las Vegas Aces,LAS,LVA,2024-05-18T15:00:00.000Z
11,1022400012, Chicago Sky,Dallas Wings,CHI,DAL,2024-05-18T15:00:00.000Z
12,1022400013, Atlanta Dream,Phoenix Mercury,ATL,PHX,2024-05-18T15:00:00.000Z
13,1022400014, Seattle Storm,Washington Mystics,SEA,WAS,2024-05-19T15:00:00.000Z
14,1022400015, Connecticut Sun,Indiana Fever,CON,IND,2024-05-20T15:00:00.000Z
15,1022400016, Seattle Storm,New York Liberty,SEA,NYL,2024-05-20T15:00:00.000Z
16,1022400017, Dallas Wings,Atlanta Dream,DAL,ATL,2024-05-21T15:00:00.000Z
17,1022400018, Phoenix Mercury,Las Vegas Aces,PHX,LVA,2024-05-21T15:00:00.000Z
18,1022400019, Washington Mystics,Los Angeles Sparks,WAS,LAS,2024-05-21T15:00:00.000Z
19,1022400020, Indiana Fever,Seattle Storm,IND,SEA,2024-05-22T15:00:00.000Z
20,1022400021, Minnesota Lynx,Connecticut Sun,MIN,CON,2024-05-23T15:00:00.000Z
21,1022400022, Chicago Sky,New York Liberty,CHI,NYL,2024-05-23T15:00:00.000Z
22,1022400023, Washington Mystics,Phoenix Mercury,WAS,PHX,2024-05-23T15:00:00.000Z
23,1022400024, Indiana Fever,Los Angeles Sparks,IND,LAS,2024-05-24T15:00:00.000Z
24,1022400025, New York Liberty,Minnesota Lynx,NYL,MIN,2024-05-25T15:00:00.000Z
25,1022400026, Connecticut Sun,Chicago Sky,CON,CHI,2024-05-25T15:00:00.000Z
26,1022400027, Indiana Fever,Las Vegas Aces,IND,LVA,2024-05-25T15:00:00.000Z
27,1022400028, Washington Mystics,Seattle Storm,WAS,SEA,2024-05-25T15:00:00.000Z
28,1022400029, Dallas Wings,Phoenix Mercury,DAL,PHX,2024-05-25T15:00:00.000Z
29,1022400030, Minnesota Lynx,Atlanta Dream,MIN,ATL,2024-05-26T15:00:00.000Z
30,1022400031, Dallas Wings,Los Angeles Sparks,DAL,LAS,2024-05-26T15:00:00.000Z
31,1022400032, Phoenix Mercury,Connecticut Sun,PHX,CON,2024-05-28T15:00:00.000Z
32,1022400033, Los Angeles Sparks,Indiana Fever,LAS,IND,2024-05-28T15:00:00.000Z
33,1022400034, Seattle Storm,Chicago Sky,SEA,CHI,2024-05-28T15:00:00.000Z
