,link,headline,datetime,source,summary,authors,image_desc
0,https://apnews.com/article/alyssa-thomas-project-b-0421556bba2b4ce365e5eef705d3f054,"WNBA star Alyssa Thomas joins new Project B league, promising higher salaries and global competition",2025-11-11 05:00:00+00:00,associated-press,,[],
1,https://apnews.com/article/wnba-draft-00f28bdfb02f146dbc4ec954239e7f42,WNBA draft lottery set for Nov. 23 with Dallas Wings having best odds,2025-11-07 05:00:00+00:00,associated-press,,[],
2,https://apnews.com/article/jose-fernandez-dallas-wings-wnba-42ee6fc9a6c041eb94d2664b21fca4d4,New Dallas Wings coach Jose Fernandez embraces move to coach Paige Bueckers and her WNBA team,2025-11-06 05:00:00+00:00,associated-press,,[],
3,https://apnews.com/article/unrivaled-basketball-paige-bueckers-1ed2f7b94abf9994838f416f30e48cce,"Paige Bueckers goes No. 1 in Unrivaled draft, joins The Breeze",2025-11-05 05:00:00+00:00,associated-press,,[],
4,https://apnews.com/article/sonia-raman-storm-coach-8cd213fa754c71ef318f76c7d814e693,‘I’m just going to be me’: New Seattle Storm coach Sonia Raman hopeful to get franchise on track,2025-11-05 05:00:00+00:00,associated-press,,[],
5,https://apnews.com/article/ogwumike-project-b-9c6e10a7a65dc5422b51410315b73be1,Nneka Ogwumike signs with new women’s basketball league Project B as WNBA contract talks persist,2025-11-05 05:00:00+00:00,associated-press,,[],
6,https://apnews.com/article/toronto-tempo-sandy-brondello-coach-wnba-f1a587f2316712d258f407b2149d6138,Two-time WNBA champion Sandy Brondello named the first head coach of the Toronto Tempo,2025-11-04 05:00:00+00:00,associated-press,,[],
7,https://apnews.com/article/cba-wnba-2631570587fa865606bc4b0d9dd4cdf4,WNBA and players union agree to 30-day extension for CBA negotiations,2025-10-31 04:00:00+00:00,associated-press,,[],
8,https://apnews.com/article/dominique-malonga-unrivaled-seattle-storm-f1b5822557dd297429296d1cce059d4c,Malonga joins Unrivaled league after leaving Turkey’s Fenerbahce,2025-10-30 04:00:00+00:00,associated-press,,[],
9,https://apnews.com/article/hall-of-fame-parker-delle-donne-2a7723b3ac0e5d431126927be04d252b,"Candace Parker, Elena Delle Donne, Cheryl Reeve headline 2026 Women’s Basketball Hall of Fame class",2025-10-30 04:00:00+00:00,associated-press,,[],
10,https://apnews.com/article/cba-wnba-extension-66c35a514cfeb5c8cd7b1a00731dc719,"WNBA offers 30-day extension as CBA deadline looms, AP sources say",2025-10-29 04:00:00+00:00,associated-press,,[],
11,https://apnews.com/article/jose-fernandez-dallas-wings-wnba-cc1d7dc14e8fa402ee474c35553ee2c0,WNBA’s Dallas Wings name Jose Fernandez as new coach,2025-10-27 04:00:00+00:00,associated-press,,[],
12,https://apnews.com/article/raman-storm-wnba-9d0863c6ab51227146f9d3a6cd4330f6,"Sonia Raman makes history as first Indian head coach in WNBA with Seattle Storm, AP source says",2025-10-24 04:00:00+00:00,associated-press,,[],
13,https://apnews.com/article/dallas-wings-coach-jose-fernandez-8084eb31eb863bf148ed90940874b692,"Jose Fernandez to be named Dallas Wings coach, AP source says",2025-10-23 04:00:00+00:00,associated-press,,[],
14,https://apnews.com/article/wnba-cba-ff7833359be8d8c1abfc79d7f6b0711b,"WNBA and players’ union spar over CBA negotiations, revenue sharing",2025-10-22 04:00:00+00:00,associated-press,,[],
15,https://apnews.com/article/toronto-tempo-brondello-ddd85accd6731ee51ee535c62d0534c1,"Sandy Brondello to become first coach of Toronto Tempo, AP source says",2025-10-22 04:00:00+00:00,associated-press,,[],
16,https://apnews.com/article/adam-silver-wnba-salaries-7323f47f6543e7b044e91bc7d0260ad5,"Adam Silver says he expects big raises for WNBA players in new CBA, and that they ‘deserve it’",2025-10-21 04:00:00+00:00,associated-press,,[],
17,https://apnews.com/article/taurasi-wnba-6ce688f7431a329a22e17c6b5da0a41c,Diana Taurasi enjoys family vacations and Halloween plans after WNBA retirement,2025-10-21 04:00:00+00:00,associated-press,,[],
18,https://apnews.com/article/las-vegas-aces-parade-wnba-aja-wilson-8a89e266266bb0c121a9fdaf52053104,Aces celebrate third WNBA championship in 4 years with parade on Las Vegas Boulevard,2025-10-18 04:00:00+00:00,associated-press,,[],
19,https://apnews.com/article/ogwumike-olympics-nigeria-e622a933f2367f8b90f014007afae1d0,FIBA denies Nneka Ogwumike’s bid to play for Nigeria in World Cup and Olympics for a third time,2025-10-17 04:00:00+00:00,associated-press,,[],
20,https://apnews.com/article/fire-wnba-alex-sarama-03c9fd6aadb05630842c85117f52752d,"Portland Fire names Alex Sarama as first head coach, team to begin play next season",2025-10-17 04:00:00+00:00,associated-press,,[],
21,https://apnews.com/article/wnba-all-star-chicago-9bba6ab0ad1e1f9f74b597005b965d78,WNBA All-Star Game returns to Chicago in 2026 at United Center,2025-10-16 04:00:00+00:00,associated-press,,[],
22,https://apnews.com/article/caitlin-clark-annika-sorenstam-lpga-proam-8008f35537c9bd5239e28d32e257d1af,Caitlin Clark returns to action on grass instead of hardwood,2025-10-16 04:00:00+00:00,associated-press,,[],
23,https://apnews.com/article/germany-fiba-lange-9ce54ac88726afeea9bb6937c6d582e4,Ex-Liberty assistant Olaf Lange to coach German women’s national team,2025-10-15 04:00:00+00:00,associated-press,,[],
24,https://apnews.com/article/hammon-aces-wilson-wnba-championship-460e6ca400f1e5c955032d19a2da74f0,Becky Hammon cements her legacy as one of the WNBA’s greatest coaches with another Aces title,2025-10-14 04:00:00+00:00,associated-press,,[],
25,https://apnews.com/article/aja-wilson-wnba-aces-31de49d21208916ed49c673ea4b239a6,"A’ja Wilson’s historic season for the champion Aces: MVP, scoring title, Finals MVP and much more",2025-10-11 04:00:00+00:00,associated-press,,[],
26,https://apnews.com/article/wnba-finals-mercury-thomas-copper-sabally-36dd0a2de22fd2f5fd421a852d3d5e72,"Even with key players injured, Phoenix Mercury go down fighting in WNBA Finals",2025-10-11 04:00:00+00:00,associated-press,,[],
27,https://apnews.com/article/las-vegas-aces-dynasty-aja-wilson-b28dd83b948c419cdaca15489c2a0a41,"Led by A’ja Wilson, the Las Vegas Aces have become a WNBA dynasty",2025-10-10 04:00:00+00:00,associated-press,,[],
28,https://apnews.com/article/cynthia-cooper-wnba-basketball-diana-taurasi-breanna-stewart-sylvia-fowles-e4b91d1c4ec760e6040f119717700a85,WNBA Finals Most Valuable Player,2025-10-10 04:00:00+00:00,associated-press,,[],
29,https://apnews.com/article/wnba-finals-aces-mercury-score-84c5472133aecf0d091d380583f4d018,"Wilson scores 31 and Aces win 3rd WNBA title in 4 seasons, beating Mercury 97-86 for 4-game sweep",2025-10-11 04:00:00+00:00,associated-press,,[],
30,https://apnews.com/article/houston-comets-wnba-basketball-4242930413535c92ee03ef2307e0a9ad,WNBA Champions,2025-10-10 04:00:00+00:00,associated-press,,[],
31,https://apnews.com/article/wnba-basketball-womens-national-basketball-association-phoenix-las-vegas-85fb1cca7e576dede523c56c4efba286,WNBA Playoff Glance,2025-10-10 04:00:00+00:00,associated-press,,[],
32,https://apnews.com/article/mercury-coach-nate-tibbetts-ejected-wnba-finals-555e8d47402d52fd1818b122d40bb2ee,Phoenix Mercury coach Nate Tibbetts ejected from WNBA Finals Game 4 after heated argument,2025-10-11 04:00:00+00:00,associated-press,,[],
33,https://apnews.com/article/sabally-mercury-aces-wnba-finals-eaa0679db91e841a96710a323ad7da25,Phoenix Mercury’s Satou Sabally out for Game 4 of WNBA Finals with concussion,2025-10-09 04:00:00+00:00,associated-press,,[],
34,https://apnews.com/article/wnba-finals-aces-mercury-aja-wilson-a2b9f6252c29b0324d1ac0932366d897,Dominance of the Las Vegas Aces threatens to make short work of WNBA’s expanded finals,2025-10-09 04:00:00+00:00,associated-press,,[],
35,https://apnews.com/article/angel-wings-victorias-secret-bdd88e6c04fd4e19c67c0945cec9e1a3,Angel Reese to make history as first professional athlete in Victoria’s Secret Fashion Show,2025-10-09 04:00:00+00:00,associated-press,,[],
36,https://apnews.com/article/wnba-basketball-wnba-finals-jackie-young-aja-wilson-alyssa-thomas-6f431bd9a1c84db29e3b33b4117822c7,Aces try to secure WNBA Finals victory over the Mercury,2025-10-09 04:00:00+00:00,associated-press,,[],
37,https://apnews.com/article/wnba-finals-mercury-aces-e8be980770eefeb263e3346dd4f86f74,Mercury staring down a 3-0 deficit in the WNBA Finals After spirited comeback falls short,2025-10-09 04:00:00+00:00,associated-press,,[],
38,https://apnews.com/article/wnba-finals-aces-mercury-wilso-2fd45580e52554c82255b0235b351067,Wilson hits last-second jumper to lift Aces over Mercury 90-88 for a 3-0 lead in the WNBA Finals,2025-10-08 04:00:00+00:00,associated-press,,[],
39,https://apnews.com/article/wnba-basketball-womens-national-basketball-association-phoenix-las-vegas-17b741688f90c14212457dec34b7a8f0,WNBA Playoff Glance,2025-10-08 04:00:00+00:00,associated-press,,[],
40,https://apnews.com/article/ratings-wnba-finals-af94d2624e344b0e5b3881c1b53b7d3f,WNBA Finals draw most viewers for a Game 1 since the league’s inaugural season,2025-10-07 04:00:00+00:00,associated-press,,[],
41,https://apnews.com/article/mercury-aces-wnba-finals-72cc96550f304d48ecafafde145b9e11,"Mercury down 2-0 to Aces in WNBA Finals, but expanded best-of-seven format gives them hope",2025-10-07 04:00:00+00:00,associated-press,,[],
42,https://apnews.com/article/chelsea-gray-jackie-young-alyssa-thomas-wnba-basketball-las-vegas-aces-207a7f99164a4a21a9daf3baf6106ca0,Aces take 2-0 lead into game 3 against the Mercury,2025-10-07 04:00:00+00:00,associated-press,,[],
43,https://apnews.com/article/wnba-finals-aces-mercury-1539230038e7278ead2ccbac40551312,Aces’ championship experience could be crucial as they take 2-0 WNBA Finals lead to Phoenix,2025-10-06 04:00:00+00:00,associated-press,,[],
44,https://apnews.com/article/wnba-adam-silver-engelbert-collective-bargaining-agreement-3cedc07494a8ab656046af66d4adc599,"Silver says WNBA deal will get done, but relationship issues with the players must be repaired",2025-10-06 04:00:00+00:00,associated-press,,[],
45,https://apnews.com/article/phoenix-mercury-las-vegas-aces-wnba-finals-25c1e763f4e467cf8b83baa46872ef25,"Down 2-0 in WNBA Finals, Mercury need a jolt with series moving to Phoenix",2025-10-05 04:00:00+00:00,associated-press,,[],
46,https://apnews.com/article/wnba-basketball-womens-national-basketball-association-phoenix-las-vegas-af88939de650165d2ed27f615fc9d08f,WNBA Playoff Glance,2025-10-05 04:00:00+00:00,associated-press,,[],
47,https://apnews.com/article/wnba-finals-mercury-aces-score-young-89dde1dad760b5172ae01e4790bc887e,Young’s record 21-point quarter propels Aces to 91-78 win over Mercury and 2-0 WNBA Finals lead,2025-10-05 04:00:00+00:00,associated-press,,[],
