id,home_team,away_team,home_team_abv,away_team_abv,datetime,home_team_id,away_team_id,headline_ids,headline_count
1022500001, Atlanta Dream,Washington Mystics,ATL,WAS,2025-05-16,20,16,"[929, 931, 8132]",3
1022500002, Minnesota Lynx,Dallas Wings,MIN,DAL,2025-05-16,8,3,"[928, 933, 935, 2386, 2388, 2391, 2392, 2395, 4784, 4788, 6578, 6579, 6580, 8129]",14
1022500003, Los Angeles Sparks,Golden State Valkyries,LAS,GSV,2025-05-16,6,129689,"[930, 932, 2387, 6576, 6577, 6584, 8128]",7
1022500004, Chicago Sky,Indiana Fever,CHI,IND,2025-05-17,19,5,"[922, 923, 924, 2378, 2379, 2380, 2381, 2382, 3297, 3298, 3299, 3300, 3301, 3302, 3303, 3304, 3305, 3306, 3307, 3308, 4775, 4776, 4778, 4779, 4781, 4785, 6559, 6560, 6562, 6563, 6564, 6565, 6566, 6567, 6568, 6569, 6570, 6571, 6575, 8122, 8123, 8124, 8125, 8130]",44
1022500005, Las Vegas Aces,New York Liberty,LVA,NYL,2025-05-17,17,9,"[926, 927, 2384, 4777, 4780, 4783, 6573, 6574, 8127]",9
1022500006, Seattle Storm,Phoenix Mercury,SEA,PHX,2025-05-17,14,11,"[921, 2383, 8126]",3
1022500007, Washington Mystics,Connecticut Sun,WAS,CON,2025-05-18,16,18,"[919, 6561]",2
1022500008, Minnesota Lynx,Los Angeles Sparks,MIN,LAS,2025-05-18,8,6,"[918, 2377]",2
1022500009, Seattle Storm,Dallas Wings,SEA,DAL,2025-05-19,14,3,"[914, 4770, 6548, 6549, 6551, 6552, 6558, 8118]",8
1022500010, Las Vegas Aces,Connecticut Sun,LVA,CON,2025-05-20,17,18,"[909, 6541]",2
1022500011, Atlanta Dream,Indiana Fever,ATL,IND,2025-05-20,20,5,"[907, 908, 911, 916, 2371, 2373, 3284, 3285, 3286, 3287, 3288, 3289, 3290, 3291, 3292, 4759, 4761, 4762, 4763, 4765, 4767, 4768, 4769, 4771, 6533, 6534, 6535, 6537, 6538, 6542, 6543, 6544, 6545, 6546, 6547, 6550, 6587, 8113, 8115, 8116, 8117]",41
1022500012, Dallas Wings,Minnesota Lynx,DAL,MIN,2025-05-21,3,8,"[903, 905, 2367, 2368, 6527, 6529, 6536, 6540, 8111, 8114]",10
1022500013, Washington Mystics,Golden State Valkyries,WAS,GSV,2025-05-21,16,129689,"[899, 902, 904, 6539]",4
1022500014, Los Angeles Sparks,Phoenix Mercury,LAS,PHX,2025-05-21,6,11,"[900, 901, 8112]",3
1022500015, Indiana Fever,Atlanta Dream,IND,ATL,2025-05-22,5,20,"[895, 897, 898, 2364, 2366, 3279, 3280, 3282, 3283, 4746, 4750, 4752, 4754, 4755, 4758, 6519, 6522, 6523, 6524, 6525, 6526, 6528, 6530, 6531, 6532, 8107, 8109, 8110]",28
1022500016, New York Liberty,Chicago Sky,NYL,CHI,2025-05-22,9,19,"[896, 2365, 3278, 4747, 4749, 4751, 4753, 4756, 4757, 6520, 6521, 8108]",12
1022500017, Connecticut Sun,Minnesota Lynx,CON,MIN,2025-05-23,18,8,[894],1
1022500018, Washington Mystics,Las Vegas Aces,WAS,LVA,2025-05-23,16,17,"[890, 892, 4748, 8106]",4
1022500019, Golden State Valkyries,Los Angeles Sparks,GSV,LAS,2025-05-23,129689,6,"[888, 891, 2361, 2362]",4
1022500020, Phoenix Mercury,Seattle Storm,PHX,SEA,2025-05-23,11,14,"[889, 893]",2
1022500021, New York Liberty,Indiana Fever,NYL,IND,2025-05-24,9,5,"[887, 2358, 2359, 2360, 3271, 3272, 3274, 3275, 3276, 3277, 4115, 4737, 4738, 4739, 4740, 4741, 4743, 4744, 4745, 6510, 6512, 6513, 6514, 6515, 6516, 6517, 8104, 8105]",28
1022500022, Dallas Wings,Atlanta Dream,DAL,ATL,2025-05-24,3,20,"[886, 3273, 4742, 6511]",4
1022500023, Connecticut Sun,Atlanta Dream,CON,ATL,2025-05-25,18,20,[885],1
1022500024, Chicago Sky,Los Angeles Sparks,CHI,LAS,2025-05-25,19,6,"[883, 3270, 4736, 6508, 6509]",5
1022500025, Washington Mystics,Phoenix Mercury,WAS,PHX,2025-05-25,16,11,[882],1
1022500026, Las Vegas Aces,Seattle Storm,LVA,SEA,2025-05-25,17,14,[884],1
1022500027, Dallas Wings,Connecticut Sun,DAL,CON,2025-05-27,3,18,"[868, 874, 876, 2356, 6492, 6493, 6494, 6496, 6500, 6502, 8101]",11
1022500028, Golden State Valkyries,New York Liberty,GSV,NYL,2025-05-27,129689,9,"[869, 873, 3268, 4729, 4730, 4731]",6
1022500029, Seattle Storm,Minnesota Lynx,SEA,MIN,2025-05-27,14,8,"[872, 2354, 2355, 8098, 8103]",5
1022500030, Atlanta Dream,Los Angeles Sparks,ATL,LAS,2025-05-27,20,6,"[870, 3265]",2
1022500031, Chicago Sky,Phoenix Mercury,CHI,PHX,2025-05-27,19,11,"[871, 875, 2353, 2995, 3264, 3266, 4732, 6487, 6491, 6497, 6498, 6501, 8100]",13
1022500032, Indiana Fever,Washington Mystics,IND,WAS,2025-05-28,5,16,"[867, 2351, 2352, 3267, 4113, 4723, 4725, 4727, 6479, 6481, 6482, 6484, 6489, 6490, 6495, 8096, 8099]",17
1022500033, Golden State Valkyries,New York Liberty,GSV,NYL,2025-05-29,129689,9,"[863, 4720, 4721, 4724, 4726, 6483, 8093, 8095]",8
1022500034, Dallas Wings,Chicago Sky,DAL,CHI,2025-05-29,3,19,"[859, 861, 862, 2349, 4717, 6473, 6474, 6476, 6480, 6485, 8090, 8092, 8094, 8097]",14
1022500035, Connecticut Sun,Indiana Fever,CON,IND,2025-05-30,18,5,"[852, 857, 4718, 6471, 6477, 8088]",6
1022500036, New York Liberty,Washington Mystics,NYL,WAS,2025-05-30,9,16,"[858, 860, 4714, 4715, 4716, 4719, 6472, 6475, 6478]",9
1022500037, Los Angeles Sparks,Las Vegas Aces,LAS,LVA,2025-05-30,6,17,"[855, 856, 6470]",3
1022500038, Minnesota Lynx,Phoenix Mercury,MIN,PHX,2025-05-30,8,11,"[851, 854, 8089]",3
1022500039, Atlanta Dream,Seattle Storm,ATL,SEA,2025-05-30,20,14,"[850, 853]",2
1022500040, Chicago Sky,Dallas Wings,CHI,DAL,2025-05-31,19,3,"[849, 3262, 3263, 4112]",4
1022500041, Connecticut Sun,New York Liberty,CON,NYL,2025-06-01,18,9,"[847, 848, 2348, 4708, 4709, 4710, 4712, 4713, 8087]",9
1022500042, Phoenix Mercury,Los Angeles Sparks,PHX,LAS,2025-06-01,11,6,[846],1
1022500043, Las Vegas Aces,Seattle Storm,LVA,SEA,2025-06-01,17,14,[845],1
1022500044, Minnesota Lynx,Golden State Valkyries,MIN,GSV,2025-06-01,8,129689,[844],1
1022500045, Washington Mystics,Indiana Fever,WAS,IND,2025-06-03,16,5,"[837, 840, 3259, 4705]",4
1022500046, Phoenix Mercury,Minnesota Lynx,PHX,MIN,2025-06-03,11,8,"[839, 842]",2
1022500047, Dallas Wings,Seattle Storm,DAL,SEA,2025-06-03,3,14,"[838, 2347, 4707]",3
1022500048, New York Liberty,Washington Mystics,NYL,WAS,2025-06-05,9,16,"[832, 4697, 4698, 4699, 4701, 4702, 4703, 6469, 8084]",9
1022500049, Golden State Valkyries,Phoenix Mercury,GSV,PHX,2025-06-05,129689,11,"[829, 831, 6464, 6468]",4
1022500050, Atlanta Dream,Connecticut Sun,ATL,CON,2025-06-06,20,18,"[825, 827, 3253, 4695, 6466]",5
1022500051, Los Angeles Sparks,Dallas Wings,LAS,DAL,2025-06-06,6,3,"[824, 826, 6461, 6462, 6463]",5
1022500052, Las Vegas Aces,Golden State Valkyries,LVA,GSV,2025-06-07,17,129689,[823],1
1022500053, Indiana Fever,Chicago Sky,IND,CHI,2025-06-07,5,19,"[817, 821, 822, 2338, 2339, 2340, 3250, 3251, 4693, 6453, 6456, 6457, 6458, 6459, 6460]",15
1022500054, Seattle Storm,Phoenix Mercury,SEA,PHX,2025-06-07,14,11,[820],1
1022500055, Connecticut Sun,Washington Mystics,CON,WAS,2025-06-08,18,16,"[819, 6455]",2
1022500056, Minnesota Lynx,Dallas Wings,MIN,DAL,2025-06-08,8,3,"[818, 6454]",2
1022500057, Golden State Valkyries,Los Angeles Sparks,GSV,LAS,2025-06-09,129689,6,"[811, 813, 3246, 4686, 6448, 6452, 8073]",7
1022500058, Indiana Fever,Atlanta Dream,IND,ATL,2025-06-10,5,20,"[807, 2332, 2333, 6444, 6449, 8072]",6
1022500059, Chicago Sky,New York Liberty,CHI,NYL,2025-06-10,19,9,"[805, 806, 809, 2330, 2335, 4680, 4681, 4682, 4683, 4684, 4685, 4687, 4688, 4689, 6438, 6441, 6442, 6443, 6446, 8074, 8077]",21
