id,Player,Flagrants,Technicals,G,MP,USG%,Personals_Drawn,Personals_Drawn/USG%,Personals_Drawn/MP,Personals,Personals/USG%,Personals/MP,Flagrants/USG%,Flagrants/MP,Technicals/USG%,Technicals/MP
3065570,Kelsey Plum,1,4,43,1508,25.4,97,3.818897637795276,0.0643236074270557,38,1.4960629921259845,0.0251989389920424,0.03937007874015748,0.000663129973474801,0.15748031496062992,0.002652519893899204
4398674,Rhyne Howard,0,3,33,1151,24.2,66,2.7272727272727275,0.0573414422241529,52,2.1487603305785123,0.0451781059947871,0.0,0.0,0.12396694214876033,0.0026064291920069507
3058901,Allisha Gray,1,4,42,1451,22.8,117,5.131578947368421,0.0806340454858718,47,2.06140350877193,0.0323914541695382,0.043859649122807015,0.0006891798759476223,0.17543859649122806,0.0027567195037904893
3904577,Arike Ogunbowale,0,2,29,966,23.2,49,2.1120689655172415,0.0507246376811594,27,1.1637931034482758,0.0279503105590062,0.0,0.0,0.08620689655172414,0.002070393374741201
4433730,Paige Bueckers,0,1,36,1199,24.7,81,3.279352226720648,0.067556296914095,49,1.9838056680161944,0.0408673894912427,0.0,0.0,0.04048582995951417,0.0008340283569641367
3917450,Napheesa Collier,0,1,33,1065,28.6,73,2.5524475524475525,0.0685446009389671,45,1.573426573426573,0.0422535211267605,0.0,0.0,0.03496503496503496,0.0009389671361502347
4433524,Sonia Citron,2,1,44,1415,20.5,70,3.4146341463414633,0.0494699646643109,45,2.1951219512195124,0.0318021201413427,0.0975609756097561,0.0014134275618374558,0.04878048780487805,0.0007067137809187279
3142328,Gabby Williams,0,3,44,1391,19.3,43,2.227979274611399,0.0309130122214234,38,1.9689119170984457,0.0273184759166067,0.0,0.0,0.15544041450777202,0.002156721782890007
4433402,Angel Reese,2,8,30,947,25.0,85,3.4,0.0897571277719113,56,2.24,0.0591341077085533,0.08,0.0021119324181626186,0.32,0.008447729672650475
3904576,Marina Mabrey,0,4,35,1103,25.8,41,1.5891472868217054,0.0371713508612874,69,2.6744186046511627,0.0625566636446056,0.0,0.0,0.15503875968992248,0.003626473254759746
4066533,Sabrina Ionescu,0,2,38,1194,28.9,81,2.8027681660899657,0.0678391959798995,40,1.384083044982699,0.033500837520938,0.0,0.0,0.06920415224913495,0.0016750418760469012
3142191,Kelsey Mitchell,0,2,44,1381,27.7,82,2.96028880866426,0.059377262853005,36,1.2996389891696751,0.0260680666183924,0.0,0.0,0.07220216606498195,0.001448225923244026
2529140,Alyssa Thomas,1,4,39,1221,24.4,77,3.155737704918033,0.063063063063063,52,2.1311475409836067,0.0425880425880425,0.04098360655737705,0.000819000819000819,0.1639344262295082,0.003276003276003276
