id,jerseys,full_name,athlete_short_name,headshot,first_name,last_name
585,[3.0],Diana Taurasi,D. Taurasi,https://a.espncdn.com/i/headshots/wnba/players/full/585.png,Diana,Taurasi
869,"[24.0, 25.0, 14.0]",DeWanna Bonner,D. Bonner,https://a.espncdn.com/i/headshots/wnba/players/full/869.png,DeWanna,Bonner
887,"[32.0, 33.0]",Sami Whitcomb,S. Whitcomb,https://a.espncdn.com/i/headshots/wnba/players/full/887.png,Sami,Whitcomb
918,[31.0],Tina Charles,T. Charles,https://a.espncdn.com/i/headshots/wnba/players/full/918.png,Tina,Charles
924,"[32.0, 7.0]",Alysha Clark,A. Clark,https://a.espncdn.com/i/headshots/wnba/players/full/924.png,Alysha,Clark
981,[22.0],Courtney Vandersloot,C. Vandersloot,https://a.espncdn.com/i/headshots/wnba/players/full/981.png,Courtney,Vandersloot
1004,[51.0],Sydney Colson,S. Colson,https://a.espncdn.com/i/headshots/wnba/players/full/1004.png,Sydney,Colson
1054,[15.0],Tiffany Hayes,T. Hayes,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png,Tiffany,Hayes
1068,[3.0],Nneka Ogwumike,N. Ogwumike,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png,Nneka,Ogwumike
1107,"[5.0, 7.0]",Shey Peddy,S. Peddy,https://a.espncdn.com/i/headshots/wnba/players/full/1107.png,Shey,Peddy
2284331,[32.0],Emma Cannon,E. Cannon,https://a.espncdn.com/i/headshots/wnba/players/full/2284331.png,Emma,Cannon
2325299,[12.0],Yvonne Anderson,Y. Anderson,https://a.espncdn.com/i/headshots/wnba/players/full/2325299.png,Yvonne,Anderson
2327695,[7.0],Rebekah Gardner,R. Gardner,https://a.espncdn.com/i/headshots/wnba/players/full/2327695.png,Rebekah,Gardner
2490553,"[42.0, 15.0]",Brittney Griner,B. Griner,https://a.espncdn.com/i/headshots/wnba/players/full/2490553.png,Brittney,Griner
2490794,[25.0],Layshia Clarendon,L. Clarendon,https://a.espncdn.com/i/headshots/wnba/players/full/2490794.png,Layshia,Clarendon
2491205,[4.0],Skylar Diggins,Diggins-Smith,https://a.espncdn.com/i/headshots/wnba/players/full/2491205.png,Skylar,Diggins
2491214,[17.0],Erica Wheeler,E. Wheeler,https://a.espncdn.com/i/headshots/wnba/players/full/2491214.png,Erica,Wheeler
2529047,"[0.0, 1.0, 2.0, 6.0]",Odyssey Sims,O. Sims,https://a.espncdn.com/i/headshots/wnba/players/full/2529047.png,Odyssey,Sims
2529122,[12.0],Chelsea Gray,C. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/2529122.png,Chelsea,Gray
2529125,[7.0],Haley Peters,H. Peters,https://a.espncdn.com/i/headshots/wnba/players/full/2529125.png,Haley,Peters
2529130,[6.0],Natasha Howard,N. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/2529130.png,Natasha,Howard
2529137,"[0.0, 9.0]",Natasha Cloud,N. Cloud,https://a.espncdn.com/i/headshots/wnba/players/full/2529137.png,Natasha,Cloud
